"","Volume","Speed","Delay","Stops","Date","Time","Day"
"178",270,25,137,171,"10/13/13","14:45","Sun"
"179",186,26,94,119,"10/13/13","14:50","Sun"
"180",191,32,97,129,"10/13/13","14:55","Sun"
"181",235,30,119,151,"10/13/13","15:00","Sun"
"182",294,26,149,199,"10/13/13","15:05","Sun"
"183",246,33,124,158,"10/13/13","15:10","Sun"
"184",167,32,85,98,"10/13/13","15:15","Sun"
"185",234,27,119,163,"10/13/13","15:20","Sun"
"186",226,29,115,151,"10/13/13","15:25","Sun"
"187",226,28,115,166,"10/13/13","15:30","Sun"
"188",230,29,116,150,"10/13/13","15:35","Sun"
"189",282,25,143,214,"10/13/13","15:40","Sun"
"190",495,19,249,370,"10/13/13","15:45","Sun"
"191",556,19,280,437,"10/13/13","15:50","Sun"
"192",383,27,193,279,"10/13/13","15:55","Sun"
"193",334,27,168,242,"10/13/13","16:00","Sun"
"194",263,29,133,183,"10/13/13","16:05","Sun"
"195",258,26,131,178,"10/13/13","16:10","Sun"
"196",314,23,159,222,"10/13/13","16:15","Sun"
"197",145,30,74,90,"10/13/13","16:20","Sun"
"198",244,29,123,168,"10/13/13","16:25","Sun"
"199",219,27,111,143,"10/13/13","16:30","Sun"
"200",185,26,94,132,"10/13/13","16:35","Sun"
"201",170,25,86,107,"10/13/13","16:40","Sun"
"202",192,26,98,132,"10/13/13","16:45","Sun"
"203",270,35,137,179,"10/13/13","16:50","Sun"
"204",151,29,77,119,"10/13/13","16:55","Sun"
"205",290,25,146,198,"10/13/13","17:00","Sun"
"206",255,30,129,163,"10/13/13","17:05","Sun"
"207",235,27,119,155,"10/13/13","17:10","Sun"
"208",214,32,108,137,"10/13/13","17:15","Sun"
"209",270,31,137,199,"10/13/13","17:20","Sun"
"210",246,26,125,179,"10/13/13","17:25","Sun"
"211",280,30,141,200,"10/13/13","17:30","Sun"
"212",168,30,85,100,"10/13/13","17:35","Sun"
"213",199,38,101,131,"10/13/13","17:40","Sun"
"214",183,22,93,123,"10/13/13","17:45","Sun"
"215",130,29,66,78,"10/13/13","17:50","Sun"
"216",159,23,81,114,"10/13/13","17:55","Sun"
"217",219,28,111,139,"10/13/13","18:00","Sun"
"218",152,29,77,96,"10/13/13","18:05","Sun"
"219",174,28,88,110,"10/13/13","18:10","Sun"
"220",171,30,87,110,"10/13/13","18:15","Sun"
"221",228,25,115,149,"10/13/13","18:20","Sun"
"222",124,27,64,72,"10/13/13","18:25","Sun"
"223",185,29,94,136,"10/13/13","18:30","Sun"
"224",169,27,86,114,"10/13/13","18:35","Sun"
"225",173,24,88,121,"10/13/13","18:40","Sun"
"226",124,25,63,84,"10/13/13","18:45","Sun"
"227",222,29,113,145,"10/13/13","18:50","Sun"
"228",207,29,105,144,"10/13/13","18:55","Sun"
"229",164,29,83,100,"10/13/13","19:00","Sun"
"230",200,29,101,124,"10/13/13","19:05","Sun"
"231",97,28,50,65,"10/13/13","19:10","Sun"
"232",226,32,114,155,"10/13/13","19:15","Sun"
"233",167,22,85,103,"10/13/13","19:20","Sun"
"234",147,34,75,99,"10/13/13","19:25","Sun"
"235",241,31,122,175,"10/13/13","19:30","Sun"
"236",201,33,102,145,"10/13/13","19:35","Sun"
"237",166,30,85,103,"10/13/13","19:40","Sun"
"238",102,25,53,83,"10/13/13","19:45","Sun"
"239",137,28,70,100,"10/13/13","19:50","Sun"
"240",176,34,89,106,"10/13/13","19:55","Sun"
"241",150,35,76,101,"10/13/13","20:00","Sun"
"242",138,30,70,90,"10/13/13","20:05","Sun"
"243",172,23,87,112,"10/13/13","20:10","Sun"
"244",80,27,41,52,"10/13/13","20:15","Sun"
"245",116,26,59,76,"10/13/13","20:20","Sun"
"246",167,22,84,123,"10/13/13","20:25","Sun"
"247",132,31,66,84,"10/13/13","20:30","Sun"
"248",144,26,72,84,"10/13/13","20:35","Sun"
"249",112,27,57,76,"10/13/13","20:40","Sun"
"250",183,29,92,115,"10/13/13","20:45","Sun"
"251",136,18,69,107,"10/13/13","20:50","Sun"
"252",168,30,84,119,"10/13/13","20:55","Sun"
"253",156,26,78,107,"10/13/13","21:00","Sun"
"254",132,26,66,96,"10/13/13","21:05","Sun"
"255",333,38,167,233,"10/13/13","21:10","Sun"
"256",492,23,246,348,"10/13/13","21:15","Sun"
"257",431,27,216,303,"10/13/13","21:20","Sun"
"258",248,22,125,176,"10/13/13","21:25","Sun"
"259",227,31,114,155,"10/13/13","21:30","Sun"
"260",151,24,76,103,"10/13/13","21:35","Sun"
"261",103,24,52,72,"10/13/13","21:40","Sun"
"262",103,25,52,67,"10/13/13","21:45","Sun"
"263",105,23,53,64,"10/13/13","21:50","Sun"
"264",38,14,20,31,"10/13/13","21:55","Sun"
"265",97,17,49,69,"10/13/13","22:00","Sun"
"266",74,16,38,55,"10/13/13","22:05","Sun"
"267",80,22,41,64,"10/13/13","22:10","Sun"
"268",47,14,24,39,"10/13/13","22:15","Sun"
"269",84,27,42,60,"10/13/13","22:20","Sun"
"270",84,32,43,72,"10/13/13","22:25","Sun"
"271",84,16,42,60,"10/13/13","22:30","Sun"
"272",117,29,59,88,"10/13/13","22:35","Sun"
"273",79,20,40,48,"10/13/13","22:40","Sun"
"274",60,20,30,48,"10/13/13","22:45","Sun"
"275",84,30,42,72,"10/13/13","22:50","Sun"
"276",43,19,22,43,"10/13/13","22:55","Sun"
"277",36,11,18,36,"10/13/13","23:00","Sun"
"278",165,25,83,112,"10/13/13","23:05","Sun"
"279",88,30,45,76,"10/13/13","23:10","Sun"
"280",127,30,64,91,"10/13/13","23:15","Sun"
"281",103,23,52,72,"10/13/13","23:20","Sun"
"282",72,23,36,60,"10/13/13","23:25","Sun"
"283",48,12,24,36,"10/13/13","23:30","Sun"
"284",67,16,34,55,"10/13/13","23:35","Sun"
"285",76,17,39,52,"10/13/13","23:40","Sun"
"286",115,25,58,79,"10/13/13","23:45","Sun"
"287",64,27,33,64,"10/13/13","23:50","Sun"
"288",43,11,22,31,"10/13/13","23:55","Sun"
"289",52,12,27,40,"10/14/13","0:00","Mon"
"290",72,22,36,48,"10/14/13","0:05","Mon"
"291",56,16,29,40,"10/14/13","0:10","Mon"
"292",35,9,18,27,"10/14/13","0:15","Mon"
"293",24,10,12,12,"10/14/13","0:20","Mon"
"294",64,12,32,40,"10/14/13","0:25","Mon"
"295",36,9,18,36,"10/14/13","0:30","Mon"
"296",19,9,10,19,"10/14/13","0:35","Mon"
"297",28,5,15,16,"10/14/13","0:40","Mon"
"298",47,21,24,47,"10/14/13","0:45","Mon"
"299",19,3,10,19,"10/14/13","0:50","Mon"
"300",48,11,24,36,"10/14/13","0:55","Mon"
"301",60,16,30,36,"10/14/13","1:00","Mon"
"302",48,14,24,36,"10/14/13","1:05","Mon"
"303",12,5,6,12,"10/14/13","1:10","Mon"
"304",9,1,5,4,"10/14/13","1:15","Mon"
"305",38,13,20,31,"10/14/13","1:20","Mon"
"306",12,2,6,12,"10/14/13","1:25","Mon"
"307",28,6,15,16,"10/14/13","1:30","Mon"
"308",43,12,22,31,"10/14/13","1:35","Mon"
"309",16,7,9,16,"10/14/13","1:40","Mon"
"310",48,22,24,48,"10/14/13","1:45","Mon"
"311",24,11,12,24,"10/14/13","1:50","Mon"
"312",19,8,10,19,"10/14/13","1:55","Mon"
"313",62,19,32,45,"10/14/13","2:00","Mon"
"314",45,15,23,38,"10/14/13","2:05","Mon"
"315",0,0,0,0,"10/14/13","2:10","Mon"
"316",16,7,9,16,"10/14/13","2:15","Mon"
"317",16,7,9,12,"10/14/13","2:20","Mon"
"318",38,17,20,31,"10/14/13","2:25","Mon"
"319",12,5,6,12,"10/14/13","2:30","Mon"
"320",12,5,6,12,"10/14/13","2:35","Mon"
"321",12,5,6,12,"10/14/13","2:40","Mon"
"322",12,1,6,12,"10/14/13","2:45","Mon"
"323",28,8,15,28,"10/14/13","2:50","Mon"
"324",31,14,16,31,"10/14/13","2:55","Mon"
"325",16,4,9,16,"10/14/13","3:00","Mon"
"326",7,3,4,7,"10/14/13","3:05","Mon"
"327",24,11,12,24,"10/14/13","3:10","Mon"
"328",4,2,3,4,"10/14/13","3:15","Mon"
"329",19,8,10,19,"10/14/13","3:20","Mon"
"330",24,8,12,24,"10/14/13","3:25","Mon"
"331",12,5,6,12,"10/14/13","3:30","Mon"
"332",28,10,15,28,"10/14/13","3:35","Mon"
"333",43,14,22,31,"10/14/13","3:40","Mon"
"334",12,5,6,12,"10/14/13","3:45","Mon"
"335",16,6,9,16,"10/14/13","3:50","Mon"
"336",31,12,16,31,"10/14/13","3:55","Mon"
"337",12,5,6,12,"10/14/13","4:00","Mon"
"338",36,11,18,36,"10/14/13","4:05","Mon"
"339",12,1,6,12,"10/14/13","4:10","Mon"
"340",12,5,6,12,"10/14/13","4:15","Mon"
"341",0,0,0,0,"10/14/13","4:20","Mon"
"342",12,2,6,12,"10/14/13","4:25","Mon"
"343",40,9,21,28,"10/14/13","4:30","Mon"
"344",12,5,6,12,"10/14/13","4:35","Mon"
"345",31,11,16,31,"10/14/13","4:40","Mon"
"346",12,5,6,12,"10/14/13","4:45","Mon"
"347",12,2,6,12,"10/14/13","4:50","Mon"
"348",21,6,11,16,"10/14/13","4:55","Mon"
"349",52,10,27,40,"10/14/13","5:00","Mon"
"350",81,13,41,50,"10/14/13","5:05","Mon"
"351",52,11,27,40,"10/14/13","5:10","Mon"
"352",40,11,21,36,"10/14/13","5:15","Mon"
"353",67,15,34,48,"10/14/13","5:20","Mon"
"354",79,18,40,67,"10/14/13","5:25","Mon"
"355",33,6,17,28,"10/14/13","5:30","Mon"
"356",62,13,32,43,"10/14/13","5:35","Mon"
"357",24,7,12,24,"10/14/13","5:40","Mon"
"358",52,10,27,40,"10/14/13","5:45","Mon"
"359",19,2,10,19,"10/14/13","5:50","Mon"
"360",21,2,11,16,"10/14/13","5:55","Mon"
"361",62,10,32,43,"10/14/13","6:00","Mon"
"362",72,10,36,48,"10/14/13","6:05","Mon"
"363",64,16,33,52,"10/14/13","6:10","Mon"
"364",40,16,21,36,"10/14/13","6:15","Mon"
"365",41,14,21,34,"10/14/13","6:20","Mon"
"366",108,13,55,67,"10/14/13","6:25","Mon"
"367",98,14,50,51,"10/14/13","6:30","Mon"
"368",123,36,63,67,"10/14/13","6:35","Mon"
"369",178,33,90,98,"10/14/13","6:40","Mon"
"370",105,15,54,73,"10/14/13","6:45","Mon"
"371",94,27,48,55,"10/14/13","6:50","Mon"
"372",184,29,93,130,"10/14/13","6:55","Mon"
"373",107,15,54,80,"10/14/13","7:00","Mon"
"374",139,27,71,89,"10/14/13","7:05","Mon"
"375",93,15,48,56,"10/14/13","7:10","Mon"
"376",97,29,49,54,"10/14/13","7:15","Mon"
"377",126,28,64,63,"10/14/13","7:20","Mon"
"378",170,26,86,107,"10/14/13","7:25","Mon"
"379",159,26,81,92,"10/14/13","7:30","Mon"
"380",186,22,94,122,"10/14/13","7:35","Mon"
"381",173,25,88,121,"10/14/13","7:40","Mon"
"382",147,22,75,107,"10/14/13","7:45","Mon"
"383",178,31,90,114,"10/14/13","7:50","Mon"
"384",161,23,82,111,"10/14/13","7:55","Mon"
"385",174,24,88,120,"10/14/13","8:00","Mon"
"386",126,19,64,86,"10/14/13","8:05","Mon"
"387",162,25,82,97,"10/14/13","8:10","Mon"
"388",167,28,85,103,"10/14/13","8:15","Mon"
"389",126,29,64,74,"10/14/13","8:20","Mon"
"390",207,24,105,131,"10/14/13","8:25","Mon"
"391",165,29,84,110,"10/14/13","8:30","Mon"
"392",160,26,81,100,"10/14/13","8:35","Mon"
"393",213,22,108,137,"10/14/13","8:40","Mon"
"394",172,30,87,108,"10/14/13","8:45","Mon"
"395",135,28,69,89,"10/14/13","8:50","Mon"
"396",186,26,94,116,"10/14/13","8:55","Mon"
"397",144,26,73,92,"10/14/13","9:00","Mon"
"398",215,24,109,133,"10/14/13","9:05","Mon"
"399",95,26,49,61,"10/14/13","9:10","Mon"
"400",178,26,91,133,"10/14/13","9:15","Mon"
"401",240,30,121,149,"10/14/13","9:20","Mon"
"402",162,32,82,105,"10/14/13","9:25","Mon"
"403",163,25,83,107,"10/14/13","9:30","Mon"
"404",241,30,122,150,"10/14/13","9:35","Mon"
"405",304,26,154,225,"10/14/13","9:40","Mon"
"406",260,25,131,168,"10/14/13","9:45","Mon"
"407",140,38,71,96,"10/14/13","9:50","Mon"
"408",277,20,140,185,"10/14/13","9:55","Mon"
"409",279,25,141,202,"10/14/13","10:00","Mon"
"410",256,25,129,185,"10/14/13","10:05","Mon"
"411",136,29,70,92,"10/14/13","10:10","Mon"
"412",236,26,119,164,"10/14/13","10:15","Mon"
"413",182,22,92,117,"10/14/13","10:20","Mon"
"414",229,23,116,149,"10/14/13","10:25","Mon"
"415",239,32,121,180,"10/14/13","10:30","Mon"
"416",214,27,109,150,"10/14/13","10:35","Mon"
"417",306,28,154,202,"10/14/13","10:40","Mon"
"418",320,26,161,239,"10/14/13","10:45","Mon"
"419",238,21,121,158,"10/14/13","10:50","Mon"
"420",286,22,144,195,"10/14/13","10:55","Mon"
"421",284,29,143,207,"10/14/13","11:00","Mon"
"422",290,30,146,207,"10/14/13","11:05","Mon"
"423",234,24,118,153,"10/14/13","11:10","Mon"
"424",353,20,178,269,"10/14/13","11:15","Mon"
"425",300,29,152,224,"10/14/13","11:20","Mon"
"426",231,30,117,155,"10/14/13","11:25","Mon"
"427",269,27,136,197,"10/14/13","11:30","Mon"
"428",302,26,152,198,"10/14/13","11:35","Mon"
"429",166,22,84,105,"10/14/13","11:40","Mon"
"430",261,24,132,182,"10/14/13","11:45","Mon"
"431",174,33,88,121,"10/14/13","11:50","Mon"
"432",266,25,134,178,"10/14/13","11:55","Mon"
"433",346,19,175,273,"10/14/13","12:00","Mon"
"434",382,26,192,290,"10/14/13","12:05","Mon"
"435",303,26,153,219,"10/14/13","12:10","Mon"
"436",400,18,202,304,"10/14/13","12:15","Mon"
"437",450,30,226,354,"10/14/13","12:20","Mon"
"438",348,23,176,249,"10/14/13","12:25","Mon"
"439",334,24,168,237,"10/14/13","12:30","Mon"
"440",300,29,151,207,"10/14/13","12:35","Mon"
"441",274,33,139,183,"10/14/13","12:40","Mon"
"442",338,24,171,250,"10/14/13","12:45","Mon"
"443",380,31,191,285,"10/14/13","12:50","Mon"
"444",279,24,141,215,"10/14/13","12:55","Mon"
"445",152,16,77,92,"10/14/13","13:00","Mon"
"446",335,25,169,243,"10/14/13","13:05","Mon"
"447",244,26,123,168,"10/14/13","13:10","Mon"
"448",247,29,125,175,"10/14/13","13:15","Mon"
"449",374,23,188,257,"10/14/13","13:20","Mon"
"450",277,25,140,203,"10/14/13","13:25","Mon"
"451",376,32,189,283,"10/14/13","13:30","Mon"
"452",307,25,155,223,"10/14/13","13:35","Mon"
"453",258,21,131,174,"10/14/13","13:40","Mon"
"454",240,30,122,150,"10/14/13","13:45","Mon"
"455",273,23,138,183,"10/14/13","13:50","Mon"
"456",494,26,248,362,"10/14/13","13:55","Mon"
"457",329,24,166,241,"10/14/13","14:00","Mon"
"458",259,25,131,180,"10/14/13","14:05","Mon"
"459",261,20,132,180,"10/14/13","14:10","Mon"
"460",356,25,179,252,"10/14/13","14:15","Mon"
"461",272,29,137,180,"10/14/13","14:20","Mon"
"462",247,26,125,165,"10/14/13","14:25","Mon"
"463",206,21,105,165,"10/14/13","14:30","Mon"
"464",254,23,129,175,"10/14/13","14:35","Mon"
"465",281,26,142,212,"10/14/13","14:40","Mon"
"466",344,22,173,263,"10/14/13","14:45","Mon"
"467",360,29,181,268,"10/14/13","14:50","Mon"
"468",361,21,182,281,"10/14/13","14:55","Mon"
"469",271,20,137,191,"10/14/13","15:00","Mon"
"470",395,24,199,303,"10/14/13","15:05","Mon"
"471",249,18,126,177,"10/14/13","15:10","Mon"
"472",410,25,206,298,"10/14/13","15:15","Mon"
"473",276,24,140,184,"10/14/13","15:20","Mon"
"474",244,23,123,164,"10/14/13","15:25","Mon"
"475",353,16,178,261,"10/14/13","15:30","Mon"
"476",303,22,153,211,"10/14/13","15:35","Mon"
"477",344,28,174,257,"10/14/13","15:40","Mon"
"478",346,28,174,240,"10/14/13","15:45","Mon"
"479",338,19,170,243,"10/14/13","15:50","Mon"
"480",178,21,90,106,"10/14/13","15:55","Mon"
"481",365,26,184,253,"10/14/13","16:00","Mon"
"482",441,24,222,297,"10/14/13","16:05","Mon"
"483",436,12,219,296,"10/14/13","16:10","Mon"
"484",433,25,218,296,"10/14/13","16:15","Mon"
"485",433,22,218,294,"10/14/13","16:20","Mon"
"486",444,23,223,324,"10/14/13","16:25","Mon"
"487",310,27,156,218,"10/14/13","16:30","Mon"
"488",417,23,210,288,"10/14/13","16:35","Mon"
"489",497,26,250,349,"10/14/13","16:40","Mon"
"490",394,27,199,266,"10/14/13","16:45","Mon"
"491",512,19,257,360,"10/14/13","16:50","Mon"
"492",356,23,180,232,"10/14/13","16:55","Mon"
"493",310,32,156,185,"10/14/13","17:00","Mon"
"494",483,23,243,331,"10/14/13","17:05","Mon"
"495",500,17,252,352,"10/14/13","17:10","Mon"
"496",516,13,259,360,"10/14/13","17:15","Mon"
"497",487,5,245,324,"10/14/13","17:20","Mon"
"498",529,17,266,373,"10/14/13","17:25","Mon"
"499",656,42,332,910,"10/14/13","17:30","Mon"
"500",333,25,168,223,"10/14/13","17:35","Mon"
"501",518,26,261,378,"10/14/13","17:40","Mon"
"502",448,23,226,329,"10/14/13","17:45","Mon"
"503",341,26,172,246,"10/14/13","17:50","Mon"
"504",263,20,133,195,"10/14/13","17:55","Mon"
"505",268,26,135,197,"10/14/13","18:00","Mon"
"506",294,27,148,205,"10/14/13","18:05","Mon"
"507",335,25,169,255,"10/14/13","18:10","Mon"
"508",330,27,167,223,"10/14/13","18:15","Mon"
"509",171,31,87,107,"10/14/13","18:20","Mon"
"510",243,29,123,167,"10/14/13","18:25","Mon"
"511",234,29,118,161,"10/14/13","18:30","Mon"
"512",253,28,128,174,"10/14/13","18:35","Mon"
"513",325,29,164,244,"10/14/13","18:40","Mon"
"514",171,28,87,115,"10/14/13","18:45","Mon"
"515",190,25,97,122,"10/14/13","18:50","Mon"
"516",306,26,155,210,"10/14/13","18:55","Mon"
