Year,Direction,Speed,Temperature,SeaLevelPressure
2.0131E+11,250,18,54,1012.5
2.0131E+11,240,17,55,1012.9
2.0131E+11,270,21,57,1012.2
2.0131E+11,260,20,58,1012.2
2.0131E+11,260,20,58,1012.2
2.0131E+11,260,10,58,1012.5
2.0131E+11,260,13,59,1012.5
2.0131E+11,230,5,59,1012.9
2.0131E+11,200,6,57,1012.9
2.0131E+11,210,7,56,1012.9
2.0131E+11,210,7,55,1012.9
2.0131E+11,210,6,55,1013.2
2.0131E+11,210,9,54,1013.5
2.0131E+11,210,10,54,1013.2
2.0131E+11,210,9,54,1012.9
2.0131E+11,200,8,54,1012.9
2.0131E+11,170,10,55,1012.5
2.0131E+11,170,10,55,1012.2
2.0131E+11,190,11,56,1011.9
2.0131E+11,190,10,56,1011.9
2.0131E+11,170,11,55,1011.5
2.0131E+11,180,13,55,1011.5
2.0131E+11,180,11,55,1011.2
2.0131E+11,190,11,57,1011.2
2.0131E+11,180,11,58,1010.5
2.0131E+11,170,13,58,1009.8
2.0131E+11,160,9,61,1008.5
2.0131E+11,180,15,62,1007.5
2.0131E+11,170,11,63,1006.8
2.0131E+11,180,10,63,1005.1
2.0131E+11,190,10,62,1004.7
2.0131E+11,200,11,62,1004.4
2.0131E+11,280,13,55,1004.7
2.0131E+11,240,5,54,1004.4
2.0131E+11,270,16,49,1005.8
2.0131E+11,250,14,48,1007.1
2.0131E+11,220,15,47,1007.5
2.0131E+11,230,16,46,1007.8
2.0131E+11,230,16,46,1008.1
2.0131E+11,230,11,46,1009.1
2.0131E+11,220,11,46,1009.8
2.0131E+11,220,14,46,1010.2
2.0131E+11,220,11,46,1010.2
2.0131E+11,230,11,45,1010.8
2.0131E+11,220,13,45,1011.2
2.0131E+11,220,15,45,1011.5
2.0131E+11,210,14,46,1012.2
2.0131E+11,210,16,48,1012.9
2.0131E+11,220,13,50,1013.5
2.0131E+11,220,13,51,1013.9
2.0131E+11,230,9,53,1013.9
2.0131E+11,250,10,54,1013.5
2.0131E+11,210,11,54,1013.9
2.0131E+11,210,13,54,1014.2
2.0131E+11,240,10,53,1014.6
2.0131E+11,240,8,53,1014.9
2.0131E+11,240,9,52,1015.2
2.0131E+11,200,6,52,1015.6
2.0131E+11,240,6,52,1015.6
2.0131E+11,210,10,51,1016.3
2.0131E+11,210,9,50,1016.3
2.0131E+11,200,9,50,1015.9
2.0131E+11,180,9,50,1015.9
2.0131E+11,180,9,50,1015.9
2.0131E+11,170,8,50,1015.9
2.0131E+11,160,8,52,1015.6
2.0131E+11,190,13,51,1015.6
2.0131E+11,190,16,52,1015.2
2.0131E+11,200,16,53,1015.2
2.0131E+11,200,15,53,1015.2
2.0131E+11,190,16,53,1014.9
2.0131E+11,190,15,55,1014.9
2.0131E+11,190,17,56,1014.2
2.0131E+11,190,18,60,1013.9
2.0131E+11,180,17,62,1013.2
2.0131E+11,170,13,65,1012.2
2.0131E+11,170,13,66,1011.9
2.0131E+11,170,14,67,1010.8
2.0131E+11,160,13,67,1010.2
2.0131E+11,160,6,66,1010.2
2.0131E+11,180,5,65,1010.2
2.0131E+11,180,7,64,1010.2
2.0131E+11,***,0,62,1009.8
2.0131E+11,320,17,57,1010.2
2.0131E+11,300,11,56,1010.2
2.0131E+11,280,11,54,1009.8
2.0131E+11,240,6,52,1009.8
2.0131E+11,200,7,51,1009.8
2.0131E+11,150,8,51,1008.8
2.0131E+11,190,6,51,1008.1
2.0131E+11,250,14,48,1008.8
2.0131E+11,250,13,48,1008.8
2.0131E+11,220,10,47,1009.5
2.0131E+11,230,8,46,1009.5
2.0131E+11,250,16,46,1010.8
2.0131E+11,240,18,46,1010.8
2.0131E+11,230,17,46,1010.8
2.0131E+11,240,18,47,1010.8
2.0131E+11,240,16,47,1010.8
2.0131E+11,230,21,48,1010.5
2.0131E+11,230,11,50,1009.8
2.0131E+11,250,22,50,1009.8
2.0131E+11,250,16,50,1010.5
2.0131E+11,280,10,49,1010.5
2.0131E+11,270,8,47,1011.2
2.0131E+11,240,7,46,1010.8
2.0131E+11,230,8,44,1011.2
2.0131E+11,250,10,45,1011.5
2.0131E+11,230,10,44,1011.2
2.0131E+11,220,8,44,1011.2
2.0131E+11,210,9,43,1010.5
2.0131E+11,230,9,43,1010.2
2.0131E+11,220,8,43,1009.5
2.0131E+11,220,9,42,1009.1
2.0131E+11,220,10,42,1008.5
2.0131E+11,210,9,42,1008.5
2.0131E+11,220,7,42,1008.1
2.0131E+11,230,8,42,1008.5
2.0131E+11,230,8,42,1008.5
2.0131E+11,240,9,44,1008.1
2.0131E+11,240,6,45,1008.1
2.0131E+11,240,9,46,1007.8
2.0131E+11,270,10,45,1007.5
2.0131E+11,290,13,45,1006.8
2.0131E+11,280,13,44,1006.8
2.0131E+11,250,9,42,1007.1
2.0131E+11,280,10,46,1007.1
2.0131E+11,250,11,46,1007.5
2.0131E+11,310,22,47,1008.1
2.0131E+11,230,8,43,1008.8
2.0131E+11,230,9,42,1008.8
2.0131E+11,260,11,44,1009.5
2.0131E+11,230,8,40,1009.8
2.0131E+11,220,10,39,1009.8
2.0131E+11,230,10,40,1009.5
2.0131E+11,230,13,39,1009.5
2.0131E+11,240,11,39,1009.5
2.0131E+11,230,10,38,1009.5
2.0131E+11,230,11,38,1009.5
2.0131E+11,220,11,38,1009.8
2.0131E+11,220,13,38,1010.2
2.0131E+11,220,16,38,1010.8
2.0131E+11,230,15,39,1011.2
2.0131E+11,230,17,43,1011.5
2.0131E+11,220,16,45,1011.2
2.0131E+11,240,18,46,1011.2
2.0131E+11,240,21,47,1010.8
2.0131E+11,240,21,48,1010.8
2.0131E+11,240,24,47,1011.2
2.0131E+11,250,14,44,1012.5
2.0131E+11,240,15,45,1012.5
2.0131E+11,260,18,44,1013.2
2.0131E+11,250,21,41,1014.2
2.0131E+11,230,13,40,1014.9
2.0131E+11,230,13,41,1015.2
2.0131E+11,280,17,43,1015.9
2.0131E+11,300,21,46,1016.3
2.0131E+11,240,7,42,1016.9
2.0131E+11,230,10,41,1017.6
2.0131E+11,220,9,41,1017.9
2.0131E+11,230,9,40,1018.3
2.0131E+11,230,11,40,1018.3
2.0131E+11,240,11,40,1019
2.0131E+11,230,8,40,1020
2.0131E+11,220,10,38,1020.3
2.0131E+11,220,9,38,1021
2.0131E+11,230,10,41,1022
2.0131E+11,260,9,44,1022.7
2.0131E+11,290,10,45,1022.7
2.0131E+11,270,10,46,1022.7
2.0131E+11,250,13,47,1022.4
2.0131E+11,260,16,47,1021.7
2.0131E+11,260,16,48,1021.3
2.0131E+11,260,14,49,1021.7
2.0131E+11,250,10,48,1021.7
2.0131E+11,230,9,48,1021.7
2.0131E+11,250,8,46,1022.4
2.0131E+11,230,9,44,1022.4
2.0131E+11,230,8,42,1022.4
2.0131E+11,210,9,42,1022
2.0131E+11,200,9,43,1021.3
2.0131E+11,190,9,43,1021
2.0131E+11,200,9,43,1020.3
2.0131E+11,220,15,43,1019.6
2.0131E+11,220,17,42,1019.3
2.0131E+11,180,8,42,1017.6
2.0131E+11,210,13,42,1016.9
2.0131E+11,210,16,44,1016.3
2.0131E+11,180,14,45,1014.9
2.0131E+11,180,16,44,1013.9
2.0131E+11,190,16,44,1013.2
2.0131E+11,180,14,44,1012.5
2.0131E+11,180,16,45,1011.9
2.0131E+11,220,14,47,1010.8
2.0131E+11,230,22,47,1010.5
2.0131E+11,230,21,46,1010.2
2.0131E+11,220,28,45,1010.2
2.0131E+11,220,21,45,1010.2
2.0131E+11,220,18,47,1009.8
2.0131E+11,210,22,47,1009.5
2.0131E+11,230,16,47,1009.8
2.0131E+11,220,14,47,1009.5
2.0131E+11,250,18,47,1009.8
2.0131E+11,230,18,45,1009.5
2.0131E+11,220,15,44,1009.8
2.0131E+11,220,17,43,1010.2
2.0131E+11,230,14,42,1010.2
2.0131E+11,220,13,43,1010.5
2.0131E+11,250,15,44,1010.8
2.0131E+11,250,13,43,1011.2
2.0131E+11,260,13,43,1011.9
2.0131E+11,240,9,41,1012.9
2.0131E+11,240,9,40,1013.2
2.0131E+11,240,10,40,1013.9
2.0131E+11,240,13,40,1014.9
2.0131E+11,270,10,43,1015.6
2.0131E+11,270,10,44,1015.9
2.0131E+11,260,10,45,1016.3
2.0131E+11,320,16,43,1016.6
2.0131E+11,260,8,44,1016.3
2.0131E+11,310,13,46,1016.3
2.0131E+11,270,11,47,1016.3
2.0131E+11,240,8,47,1016.9
2.0131E+11,240,6,47,1017.3
2.0131E+11,260,7,47,1017.6
2.0131E+11,220,3,46,1017.9
2.0131E+11,230,5,45,1018.3
2.0131E+11,210,6,44,1018.3
2.0131E+11,200,9,43,1018.6
2.0131E+11,210,9,44,1018.6
2.0131E+11,200,9,44,1018.3
2.0131E+11,180,8,45,1017.9
2.0131E+11,180,10,45,1017.6
2.0131E+11,210,13,46,1017.6
2.0131E+11,220,10,45,1017.9
2.0131E+11,230,10,46,1018.6
2.0131E+11,250,11,47,1019.6
2.0131E+11,260,9,47,1021
2.0131E+11,290,10,48,1022.4
2.0131E+11,330,21,48,1023.4
2.0131E+11,340,22,46,1024.7
2.0131E+11,340,16,46,1025.7
2.0131E+11,360,13,46,1026.1
2.0131E+11,340,14,46,1026.4
2.0131E+11,350,13,45,1027.1
2.0131E+11,360,8,45,1027.4
2.0131E+11,360,14,45,1028.1
2.0131E+11,10,14,44,1028.1
2.0131E+11,40,11,44,1028.4
2.0131E+11,360,9,44,1029.1
2.0131E+11,50,10,44,1029.1
2.0131E+11,50,8,44,1029.5
2.0131E+11,200,7,38,1030.1
2.0131E+11,180,6,36,1030.1
2.0131E+11,170,2,38,1030.5
2.0131E+11,140,7,38,1030.8
2.0131E+11,160,7,36,1031.2
2.0131E+11,150,8,36,1031.2
2.0131E+11,140,8,35,1031.2
2.0131E+11,150,9,35,1031.8
2.0131E+11,170,8,34,1031.8
2.0131E+11,170,8,34,1031.8
2.0131E+11,190,7,36,1032.8
2.0131E+11,150,8,40,1032.8
2.0131E+11,140,3,42,1033.2
2.0131E+11,90,6,43,1032.5
2.0131E+11,70,6,42,1032.5
2.0131E+11,80,7,42,1031.5
2.0131E+11,80,9,43,1030.5
2.0131E+11,60,9,44,1030.1
2.0131E+11,60,7,43,1029.8
2.0131E+11,50,8,43,1029.8
2.0131E+11,90,7,44,1029.5
2.0131E+11,120,9,43,1029.5
2.0131E+11,130,8,42,1029.1
2.0131E+11,130,8,42,1028.4
2.0131E+11,140,6,41,1027.8
2.0131E+11,160,5,40,1027.1
2.0131E+11,200,3,40,1026.8
2.0131E+11,210,1,41,1026.1
2.0131E+11,170,3,41,1025.7
2.0131E+11,200,5,41,1025.7
2.0131E+11,190,3,41,1025.4
2.0131E+11,170,2,42,1025.4
2.0131E+11,170,2,42,1025.1
2.0131E+11,160,5,41,1025.4
2.0131E+11,150,7,42,1025.7
2.0131E+11,140,8,44,1025.7
2.0131E+11,130,8,46,1025.7
2.0131E+11,130,5,47,1025.4
2.0131E+11,100,6,49,1024.4
2.0131E+11,80,6,50,1023.7
2.0131E+11,50,7,51,1023
2.0131E+11,60,6,52,1022.7
2.0131E+11,50,11,51,1022.4
2.0131E+11,60,11,51,1022.7
2.0131E+11,70,14,52,1022.4
2.0131E+11,90,13,51,1022.4
2.0131E+11,100,11,50,1022
2.0131E+11,100,11,50,1022
2.0131E+11,120,7,48,1021.7
2.0131E+11,120,10,48,1020.3
2.0131E+11,120,9,48,1019.6
2.0131E+11,150,3,48,1018.6
2.0131E+11,190,8,48,1017.3
2.0131E+11,170,10,48,1016.3
2.0131E+11,170,9,49,1015.6
2.0131E+11,160,8,50,1014.9
2.0131E+11,140,8,51,1012.9
2.0131E+11,150,14,53,1012.2
2.0131E+11,160,13,56,1011.5
2.0131E+11,170,15,59,1010.5
2.0131E+11,180,14,62,1009.8
2.0131E+11,160,13,64,1008.5
2.0131E+11,160,10,65,1007.1
2.0131E+11,160,10,67,1006.4
2.0131E+11,170,8,67,1006.4
2.0131E+11,170,8,67,1005.8
2.0131E+11,170,13,68,1004.4
2.0131E+11,200,13,66,1004.1
2.01311E+11,150,8,62,1002.7
2.01311E+11,160,10,63,1000.7
2.01311E+11,170,15,64,999
2.01311E+11,170,17,62,997.3
2.01311E+11,160,17,62,995.6
2.01311E+11,170,20,62,994.2
2.01311E+11,150,22,62,992.9
2.01311E+11,160,21,63,991.9
2.01311E+11,160,21,64,990.5
2.01311E+11,180,16,65,989.8
2.01311E+11,170,20,65,989.2
2.01311E+11,220,20,66,989.5
2.01311E+11,230,17,65,991.5
2.01311E+11,240,24,61,992.9
2.01311E+11,240,26,60,994.2
2.01311E+11,250,31,60,994.6
2.01311E+11,260,31,59,996.3
2.01311E+11,240,29,58,997.3
2.01311E+11,250,30,56,998.6
2.01311E+11,250,33,56,999
2.01311E+11,250,23,56,1000.3
2.01311E+11,260,23,56,1001.7
2.01311E+11,260,13,55,1002.7
2.01311E+11,240,9,55,1003.7
2.01311E+11,250,11,54,1004.4
2.01311E+11,230,9,54,1005.1
2.01311E+11,210,9,53,1005.4
2.01311E+11,230,7,50,1005.8
2.01311E+11,220,9,50,1005.4
2.01311E+11,220,9,50,1005.1
2.01311E+11,230,9,50,1004.7
2.01311E+11,210,7,49,1004.4
2.01311E+11,210,7,49,1003.7
2.01311E+11,270,5,49,1003.7
2.01311E+11,210,5,49,1004.1
2.01311E+11,220,6,49,1004.4
2.01311E+11,260,6,49,1004.4
2.01311E+11,280,6,49,1005.1
2.01311E+11,330,6,49,1005.1
2.01311E+11,280,6,50,1005.1
2.01311E+11,340,5,51,1005.8
2.01311E+11,350,11,49,1005.8
2.01311E+11,320,13,47,1005.8
2.01311E+11,30,20,48,1005.8
2.01311E+11,350,25,42,1011.9
2.01311E+11,350,25,42,1012.9
2.01311E+11,360,23,41,1014.6
2.01311E+11,20,25,42,1015.2
2.01311E+11,10,23,42,1016.3
2.01311E+11,10,21,41,1016.9
2.01311E+11,360,20,40,1017.3
2.01311E+11,360,20,39,1018.3
2.01311E+11,360,16,38,1019.3
2.01311E+11,350,16,37,1020.3
2.01311E+11,350,18,37,1020.7
2.01311E+11,350,17,36,1022.7
2.01311E+11,340,11,35,1023.7
2.01311E+11,340,14,35,1024
2.01311E+11,340,13,35,1026.1
2.01311E+11,350,15,35,1027.1
2.01311E+11,360,11,35,1028.1
2.01311E+11,340,9,35,1029.1
2.01311E+11,330,11,36,1029.1
2.01311E+11,330,11,36,1029.5
2.01311E+11,330,9,37,1030.1
2.01311E+11,330,6,37,1030.8
2.01311E+11,330,10,37,1031.2
2.01311E+11,260,9,35,1032.2
2.01311E+11,240,8,34,1032.5
2.01311E+11,240,10,33,1033.2
2.01311E+11,240,8,33,1033.5
2.01311E+11,250,10,35,1033.9
2.01311E+11,240,8,34,1034.5
2.01311E+11,250,6,35,1034.5
2.01311E+11,230,6,34,1034.9
2.01311E+11,140,8,32,1035.9
2.01311E+11,180,9,31,1036.9
2.01311E+11,190,9,31,1036.9
2.01311E+11,190,7,31,1037.3
2.01311E+11,200,8,30,1037.6
2.01311E+11,190,7,30,1037.9
2.01311E+11,190,7,30,1038.6
2.01311E+11,190,3,34,1039.3
2.01311E+11,130,11,37,1038.9
2.01311E+11,110,14,38,1038.6
2.01311E+11,100,17,39,1037.9
2.01311E+11,90,9,40,1037.6
2.01311E+11,90,14,41,1036.2
2.01311E+11,100,14,42,1036.6
2.01311E+11,100,11,42,1036.2
2.01311E+11,90,15,42,1035.2
2.01311E+11,90,17,41,1034.9
2.01311E+11,90,16,41,1034.9
2.01311E+11,100,13,40,1034.5
2.01311E+11,100,13,40,1033.9
2.01311E+11,100,14,40,1033.5
2.01311E+11,110,11,40,1032.8
2.01311E+11,120,8,40,1032.2
2.01311E+11,130,8,39,1032.2
2.01311E+11,170,8,40,1032.2
2.01311E+11,170,11,42,1031.8
2.01311E+11,170,13,42,1032.2
2.01311E+11,180,15,41,1032.2
2.01311E+11,180,16,42,1032.2
2.01311E+11,170,15,41,1032.2
2.01311E+11,180,18,42,1032.2
2.01311E+11,170,15,45,1032.5
2.01311E+11,180,15,46,1032.5
2.01311E+11,190,13,50,1032.2
2.01311E+11,170,13,55,1031.2
2.01311E+11,170,15,56,1030.8
2.01311E+11,170,8,57,1030.5
2.01311E+11,170,11,58,1030.1
2.01311E+11,170,13,57,1029.8
2.01311E+11,170,10,56,1029.8
2.01311E+11,160,9,55,1030.1
2.01311E+11,150,8,53,1029.5
2.01311E+11,150,10,53,1029.1
2.01311E+11,170,11,53,1028.4
2.01311E+11,170,13,52,1028.1
2.01311E+11,170,15,52,1027.4
2.01311E+11,180,16,52,1027.8
2.01311E+11,170,14,52,1027.1
2.01311E+11,170,15,51,1026.4
2.01311E+11,170,10,51,1025.4
2.01311E+11,150,6,51,1024.7
2.01311E+11,170,13,51,1024.4
2.01311E+11,180,14,51,1024
2.01311E+11,170,9,51,1022.7
2.01311E+11,170,11,52,1022
2.01311E+11,170,15,53,1021.7
2.01311E+11,170,17,57,1020.3
2.01311E+11,180,21,60,1020
2.01311E+11,170,15,62,1018.6
2.01311E+11,160,11,63,1017.3
2.01311E+11,170,11,63,1015.9
2.01311E+11,160,15,64,1014.9
2.01311E+11,140,10,61,1013.5
2.01311E+11,160,15,67,1012.5
2.01311E+11,150,13,67,1011.9
2.01311E+11,160,15,65,1011.5
2.01311E+11,160,17,64,1010.8
2.01311E+11,220,9,62,1011.2
2.01311E+11,220,6,58,1010.8
2.01311E+11,180,9,59,1009.8
2.01311E+11,210,9,58,1010.2
2.01311E+11,220,10,58,1009.8
2.01311E+11,230,10,57,1009.5
2.01311E+11,280,22,52,1010.2
2.01311E+11,280,17,47,1011.5
2.01311E+11,280,17,46,1011.9
2.01311E+11,270,11,46,1013.2
2.01311E+11,270,16,45,1013.5
2.01311E+11,260,11,45,1014.2
2.01311E+11,260,14,45,1015.2
2.01311E+11,280,15,44,1015.2
2.01311E+11,290,16,45,1015.2
2.01311E+11,290,22,45,1015.2
2.01311E+11,290,18,45,1014.9
2.01311E+11,290,15,45,1014.9
2.01311E+11,310,16,42,1014.9
2.01311E+11,280,13,43,1015.2
2.01311E+11,270,9,43,1015.2
2.01311E+11,320,17,44,1014.2
2.01311E+11,280,10,43,1015.9
2.01311E+11,260,10,42,1015.9
2.01311E+11,290,15,42,1015.9
2.01311E+11,270,16,42,1015.9
2.01311E+11,260,17,41,1015.6
2.01311E+11,260,15,40,1015.2
2.01311E+11,260,15,40,1015.2
2.01311E+11,270,16,41,1014.9
2.01311E+11,270,16,40,1014.6
2.01311E+11,270,14,40,1015.2
2.01311E+11,270,13,40,1015.6
2.01311E+11,260,11,39,1015.9
2.01311E+11,260,11,38,1016.6
2.01311E+11,270,10,38,1017.9
2.01311E+11,310,21,40,1019
2.01311E+11,300,17,40,1019.3
2.01311E+11,280,16,40,1020
2.01311E+11,300,21,41,1019.6
2.01311E+11,280,17,42,1020
2.01311E+11,290,25,42,1019.6
2.01311E+11,290,23,42,1020.3
2.01311E+11,280,18,42,1021.3
2.01311E+11,270,13,42,1021.7
2.01311E+11,250,10,40,1022.4
2.01311E+11,260,11,40,1023.4
2.01311E+11,260,10,40,1023.7
2.01311E+11,250,6,40,1024
2.01311E+11,250,10,40,1024
2.01311E+11,250,10,40,1024.4
2.01311E+11,230,8,40,1024
2.01311E+11,240,9,40,1024
2.01311E+11,250,9,40,1024
2.01311E+11,240,8,41,1023.4
2.01311E+11,250,7,41,1023.7
2.01311E+11,250,7,40,1023.7
2.01311E+11,210,7,39,1023.4
2.01311E+11,210,7,39,1023.4
2.01311E+11,190,9,40,1023.4
2.01311E+11,180,9,40,1023
2.01311E+11,200,11,38,1022.4
2.01311E+11,140,13,39,1019.6
2.01311E+11,130,10,42,1018.6
2.01311E+11,160,13,46,1015.9
2.01311E+11,160,14,46,1015.2
2.01311E+11,150,14,47,1013.9
2.01311E+11,140,11,47,1013.2
2.01311E+11,140,11,47,1012.5
2.01311E+11,140,9,48,1012.5
2.01311E+11,150,9,50,1011.9
2.01311E+11,150,11,50,1011.2
2.01311E+11,190,13,50,1010.5
2.01311E+11,210,15,50,1009.8
2.01311E+11,220,13,50,1009.1
2.01311E+11,240,13,50,1009.1
2.01311E+11,240,11,51,1009.1
2.01311E+11,250,8,51,1009.1
2.01311E+11,260,15,49,1009.1
2.01311E+11,270,10,48,1009.5
2.01311E+11,250,6,47,1009.5
2.01311E+11,300,6,46,1009.5
2.01311E+11,270,10,46,1009.8
2.01311E+11,260,10,46,1010.5
2.01311E+11,260,14,46,1010.8
2.01311E+11,240,15,46,1010.8
2.01311E+11,250,11,46,1011.2
2.01311E+11,250,15,46,1011.2
2.01311E+11,270,22,47,1011.2
2.01311E+11,260,26,46,1011.5
2.01311E+11,280,28,46,1012.2
2.01311E+11,280,28,46,1013.2
2.01311E+11,280,26,44,1015.2
2.01311E+11,280,26,43,1015.6
2.01311E+11,280,23,44,1017.6
2.01311E+11,280,24,43,1018.3
2.01311E+11,280,24,43,1019.6
2.01311E+11,270,22,42,1020.3
2.01311E+11,270,18,42,1021
2.01311E+11,260,14,42,1021.7
2.01311E+11,280,17,42,1021.7
2.01311E+11,250,13,40,1021.7
2.01311E+11,230,9,38,1021.7
2.01311E+11,230,9,38,1022
2.01311E+11,210,9,37,1022
2.01311E+11,210,9,37,1021.3
2.01311E+11,210,8,38,1020.7
2.01311E+11,200,7,39,1020.3
2.01311E+11,180,8,42,1019.6
2.01311E+11,200,13,43,1018.3
2.01311E+11,180,13,44,1016.9
2.01311E+11,230,11,45,1016.3
2.01311E+11,230,17,46,1014.9
2.01311E+11,240,18,47,1014.2
2.01311E+11,240,15,44,1014.2
2.01311E+11,240,13,41,1014.6
2.01311E+11,250,10,41,1014.6
2.01311E+11,230,10,40,1014.9
2.01311E+11,300,26,38,1015.9
2.01311E+11,280,14,34,1017.6
2.01311E+11,280,15,33,1017.9
2.01311E+11,290,16,33,1019
2.01311E+11,310,23,35,1019
2.01311E+11,290,21,35,1020
2.01311E+11,330,21,34,1020.3
2.01311E+11,320,26,33,1021
2.01311E+11,330,25,32,1021.7
2.01311E+11,320,25,31,1022.4
2.01311E+11,300,25,30,1023.4
2.01311E+11,310,24,30,1023.7
2.01311E+11,320,26,29,1024.7
2.01311E+11,320,21,29,1026.1
2.01311E+11,310,24,30,1026.4
2.01311E+11,310,22,30,1027.1
2.01311E+11,300,21,30,1027.4
2.01311E+11,310,23,31,1026.8
2.01311E+11,300,25,32,1026.4
2.01311E+11,270,16,30,1026.8
2.01311E+11,300,26,32,1026.8
2.01311E+11,290,21,33,1027.1
2.01311E+11,270,15,31,1027.8
2.01311E+11,270,15,30,1027.8
